Species:Chemical Name:Ordered Freq (GHz) (rest frame, redshifted):Resolved QNs:CDMS/JPL Intensity:Lovas/AST Intensity:E_L (cm^-1):E_L (K):Linelist
SiOv=0:Silicon Monoxide:86.84696000, 86.84696000:2-1:-2.47860: 1.5:1.4485:2.0841:JPL
HCNv=0:Hydrogen Cyanide:88.63041560, 88.63041560:J=1-0,F=1-1:-2.99110::0.0000:0.0000:CDMS
HCNv=0:Hydrogen Cyanide:88.63160230, 88.63160230:J=1-0:-2.51260::0.0000:0.0000:CDMS
HCNv=0:Hydrogen Cyanide:88.63184750, 88.63184750:J=1-0,F=2-1:-2.76930::0.0000:0.0000:CDMS
HCNv=0:Hydrogen Cyanide:88.63393570, 88.63393570:J=1-0,F=0-1:-3.46820::0.0000:0.0000:CDMS
CSv=0:Carbon Monosulfide:97.98095330, 97.98095330:2-1:-2.72520: 6.94:1.6342:2.3512:CDMS
C18O:Carbon Monoxide:109.78217340, 109.78217340:1-0:-5.07080: 2.1:0.0000:0.0000:CDMS
13COv=0:Carbon Monoxide:110.20132180, 110.20132180:J=1-0,F=1/2-1/2:-5.54330: 9.3:0.0000:0.0000:CDMS
13COv=0:Carbon Monoxide:110.20135430, 110.20135430:1-0:-5.06620: 9.3:0.0000:0.0000:CDMS
13COv=0:Carbon Monoxide:110.20137040, 110.20137040:J=1-0,F=3/2-1/2:-5.24230: 9.3:0.0000:0.0000:CDMS
COv=0:Carbon Monoxide:115.27120180, 115.27120180:1-0:-5.01050:60.0:0.0000:0.0000:CDMS
SiOv=0:Silicon Monoxide:130.26861000, 130.26861000:3-2:-1.95790: 1.34:4.3454:6.2520:JPL
CSv=0:Carbon Monosulfide:146.96902870, 146.96902870:3-2:-2.20550: 8.1:4.9025:7.0536:CDMS
SiOv=0:Silicon Monoxide:173.68831000, 173.68831000:4-3:-1.59370: 65e:8.6907:12.5039:JPL
HCNv=0:Hydrogen Cyanide:177.25967930, 177.25967930:J=2-1,F=2-2:-2.69930::2.9564:4.2536:CDMS
HCNv=0:Hydrogen Cyanide:177.25992460, 177.25992460:J=2-1,F=1-0:-2.57440::2.9565:4.2537:CDMS
HCNv=0:Hydrogen Cyanide:177.26111120, 177.26111120:J=2-1,F=2-1:-2.22220::2.9564:4.2536:CDMS
HCNv=0:Hydrogen Cyanide:177.26111150, 177.26111150:J=2-1:-1.61880::2.9564:4.2536:CDMS
HCNv=0:Hydrogen Cyanide:177.26122200, 177.26122200:J=2-1,F=3-2:-1.95120::2.9564:4.2536:CDMS
HCNv=0:Hydrogen Cyanide:177.26201280, 177.26201280:J=2-1,F=1-2:-3.87540::2.9564:4.2536:CDMS
HCNv=0:Hydrogen Cyanide:177.26344470, 177.26344470:J=2-1,F=1-1:-2.69930::2.9564:4.2536:CDMS
CSv=0:Carbon Monosulfide:195.95421090, 195.95421090:4-3:-1.84260: 3.3:9.8048:14.1068:CDMS
SiOv=0:Silicon Monoxide:217.10498000, 217.10498000:5-4:-1.31660: 1.6:14.4843:20.8396:JPL
C18O:Carbon Monoxide:219.56035410, 219.56035410:2-1:-4.17940: 3.5:3.6619:5.2686:CDMS
13COv=0:Carbon Monoxide:220.39861950, 220.39861950:J=2-1,F=3/2-3/2:-5.35080:17.:3.6759:5.2888:CDMS
13COv=0:Carbon Monoxide:220.39866740, 220.39866740:J=2-1,F=3/2-1/2:-4.65170:17.:3.6759:5.2888:CDMS
13COv=0:Carbon Monoxide:220.39868420, 220.39868420:2-1:-4.17490:17.:3.6759:5.2888:CDMS
13COv=0:Carbon Monoxide:220.39870060, 220.39870060:J=2-1,F=5/2-3/2:-4.39670:17.:3.6759:5.2888:CDMS
COv=0:Carbon Monoxide:230.53800000, 230.53800000:2-1:-4.11970:70.:3.8450:5.5321:CDMS
CSv=0:Carbon Monosulfide:244.93555650, 244.93555650:5-4:-1.56720: 5.5:16.3411:23.5111:CDMS
SiOv=0:Silicon Monoxide:260.51802000, 260.51802000:6-5:-1.09570: 2.9:21.7261:31.2588:JPL
HCNv=0:Hydrogen Cyanide:265.88489120, 265.88489120:J=3-2,F=3-3:-2.53870::8.8692:12.7607:CDMS
HCNv=0:Hydrogen Cyanide:265.88618860, 265.88618860:J=3-2,F=2-1:-1.80630::8.8693:12.7609:CDMS
HCNv=0:Hydrogen Cyanide:265.88643390, 265.88643390:J=3-2,F=3-2:-1.63560::8.8692:12.7607:CDMS
HCNv=0:Hydrogen Cyanide:265.88643430, 265.88643430:J=3-2:-1.10590::8.8692:12.7607:CDMS
HCNv=0:Hydrogen Cyanide:265.88649990, 265.88649990:J=3-2,F=4-3:-1.47530::8.8692:12.7607:CDMS
HCNv=0:Hydrogen Cyanide:265.88697930, 265.88697930:J=3-2,F=2-3:-4.08270::8.8692:12.7607:CDMS
HCNv=0:Hydrogen Cyanide:265.88852210, 265.88852210:J=3-2,F=2-2:-2.53860::8.8692:12.7607:CDMS
CSv=0:Carbon Monosulfide:293.91208650, 293.91208650:6-5:-1.34840: 3.3:24.5113:35.2661:CDMS
SiOv=0:Silicon Monoxide:303.92696000, 303.92696000:7-6:-0.91460: 8.:30.4161:43.7617:JPL
C18O:Carbon Monoxide:329.33055250, 329.33055250:3-2:-3.67060:15.3:10.9857:15.8059:CDMS
13COv=0:Carbon Monoxide:330.58786710, 330.58786710:J=3-2,F=5/2-5/2:-5.21000:16.03:11.0276:15.8662:CDMS
13COv=0:Carbon Monoxide:330.58794900, 330.58794900:J=3-2,F=5/2-3/2:-4.06370:16.03:11.0276:15.8662:CDMS
13COv=0:Carbon Monoxide:330.58796530, 330.58796530:3-2:-3.66620:16.03:11.0276:15.8662:CDMS
13COv=0:Carbon Monoxide:330.58798160, 330.58798160:J=3-2,F=7/2-5/2:-3.90920:16.03:11.0276:15.8662:CDMS
CSv=0:Carbon Monosulfide:342.88285030, 342.88285030:7-6:-1.16970: 9.65:34.3152:49.3716:CDMS
COv=0:Carbon Monoxide:345.79598990, 345.79598990:3-2:-3.61180:70.00:11.5350:16.5962:CDMS
SiOv=0:Silicon Monoxide:347.33063100, 347.33063100:8-7:-0.76330: 6.81:40.5540:58.3478:JPL
HCNv=0:Hydrogen Cyanide:354.50386860, 354.50386860:J=4-3,F=4-4:-2.43530::17.7383:25.5213:CDMS
HCNv=0:Hydrogen Cyanide:354.50536650, 354.50536650:J=4-3,F=3-2:-1.37730::17.7383:25.5213:CDMS
HCNv=0:Hydrogen Cyanide:354.50547730, 354.50547730:J=4-3,F=4-3:-1.25920::17.7382:25.5212:CDMS
HCNv=0:Hydrogen Cyanide:354.50547790, 354.50547790:J=4-3:-0.75260::17.7382:25.5212:CDMS
HCNv=0:Hydrogen Cyanide:354.50552290, 354.50552290:J=4-3,F=5-4:-1.14400::17.7383:25.5213:CDMS
HCNv=0:Hydrogen Cyanide:354.50584590, 354.50584590:J=4-3,F=3-4:-4.23460::17.7383:25.5213:CDMS
HCNv=0:Hydrogen Cyanide:354.50745460, 354.50745460:J=4-3,F=3-3:-2.43530::17.7382:25.5212:CDMS
SiOv=0:Silicon Monoxide:390.72844830, 390.72844830:9-8:-0.63560::52.1397:75.0170:JPL
CSv=0:Carbon Monosulfide:391.84688980, 391.84688980:8-7:-1.02130::45.7525:65.8273:CDMS
SiOv=0:Silicon Monoxide:434.11955210, 434.11955210:10-9:-0.52710::65.1730:93.7689:JPL
C18O:Carbon Monoxide:439.08876580, 439.08876580:4-3:-3.32310::21.9710:31.6112:CDMS
13COv=0:Carbon Monoxide:440.76517350, 440.76517350:4-3:-3.31870::22.0549:31.7319:CDMS
CSv=0:Carbon Monosulfide:440.80323200, 440.80323200:9-8:-0.89680::58.8231:84.6328:CDMS
HCNv=0:Hydrogen Cyanide:443.11449420, 443.11449420:J=5-4,F=5-5:-2.36610::29.5633:42.5347:CDMS
HCNv=0:Hydrogen Cyanide:443.11608250, 443.11608250:J=5-4,F=4-3:-1.07730::29.5633:42.5347:CDMS
HCNv=0:Hydrogen Cyanide:443.11614850, 443.11614850:J=5-4,F=5-4:-0.98580::29.5632:42.5346:CDMS
HCNv=0:Hydrogen Cyanide:443.11614930, 443.11614930:J=5-4:-0.48960::29.5633:42.5347:CDMS
HCNv=0:Hydrogen Cyanide:443.11618310, 443.11618310:J=5-4,F=6-5:-0.89560::29.5633:42.5347:CDMS
HCNv=0:Hydrogen Cyanide:443.11640550, 443.11640550:J=5-4,F=4-5:-4.36170::29.5633:42.5347:CDMS
HCNv=0:Hydrogen Cyanide:443.11805980, 443.11805980:J=5-4,F=4-4:-2.36610::29.5632:42.5346:CDMS
COv=0:Carbon Monoxide:461.04076820, 461.04076820:4-3:-3.26570:60.:23.0695:33.1917:CDMS
SiOv=0:Silicon Monoxide:477.50309650, 477.50309650:11-10:-0.43470::79.6536:114.6031:JPL
CSv=0:Carbon Monosulfide:489.75092100, 489.75092100:10-9:-0.79190:11.7:73.5267:105.7879:CDMS
SiOv=0:Silicon Monoxide:607.59942070, 607.59942070:14-13:-0.23400::131.7772:189.5969:JPL
HCNv=0:Hydrogen Cyanide:620.30400220, 620.30400220:J=7-6:-0.12510::62.0802:89.3190:CDMS
CSv=0:Carbon Monosulfide:636.53246000, 636.53246000:13-12:-0.56750:29.9:127.4326:183.3460:CDMS
SiOv=0:Silicon Monoxide:650.94358880, 650.94358880:15-14:-0.18800::152.0445:218.7569:JPL
C18O:Carbon Monoxide:658.55327820, 658.55327820:6-5:-2.87280:25.0:54.9244:79.0235:CDMS
13COv=0:Carbon Monoxide:661.06727660, 661.06727660:6-5:-2.86870: 64.0:55.1341:79.3252:CDMS
CSv=0:Carbon Monosulfide:685.43592380, 685.43592380:14-13:-0.51690:25.0:148.6650:213.8945:CDMS
COv=0:Carbon Monoxide:691.47307630, 691.47307630:6-5:-2.81930:100.:57.6704:82.9744:CDMS
SiOv=0:Silicon Monoxide:694.27543090, 694.27543090:16-15:-0.15090::173.7577:249.9971:JPL
HCNv=0:Hydrogen Cyanide:708.87700510, 708.87700510:J=8-7:0.00270::82.7713:119.0888:CDMS
HCNv=0:Hydrogen Cyanide:797.43326230, 797.43326230:J=9-8:0.10380::106.4169:153.1093:CDMS
COv=0:Carbon Monoxide:806.65180600, 806.65180600:7-6:-2.67160:110.:80.7354:116.1596:CDMS
SiOv=0:Silicon Monoxide:824.18591680, 824.18591680:19-18:-0.08580::247.5676:356.1925:JPL
CSv=0:Carbon Monosulfide:832.06171770, 832.06171770:17-16:-0.42230:57.2:222.1480:319.6196:CDMS
SiOv=0:Silicon Monoxide:867.45710550, 867.45710550:20-19:-0.07790::275.0595:395.7470:JPL
C18O:Carbon Monoxide:877.92195530, 877.92195530:8-7:-2.60710:18.1:102.5175:147.4990:CDMS
CSv=0:Carbon Monosulfide:880.90557920, 880.90557920:18-17:-0.40740:15.3:249.9025:359.5519:CDMS
13COv=0:Carbon Monoxide:881.27280800, 881.27280800:8-7:-2.60340:148.6:102.9089:148.0621:CDMS
HCNv=0:Hydrogen Cyanide:885.97069490, 885.97069490:J=10-9:0.18260::133.0164:191.3798:CDMS
SiOv=0:Silicon Monoxide:910.71001720, 910.71001720:21-20:-0.07640::303.9948:437.3782:JPL
COv=0:Carbon Monoxide:921.79970000, 921.79970000:8-7:-2.55900::107.6424:154.8725:CDMS
CSv=0:Carbon Monosulfide:929.73212500, 929.73212500:19-18:-0.39990::279.2864:401.8285:CDMS
